name,address,latitude,longitude,census_tract,county,capacity
Barbara Ester Unit,"7500 Corrections Circle, Pine Bluff, AR 71603",34.222849899764,-92.081375198851,05069002103,Jefferson County,641
Benton Unit,"6701 Highway 67, Benton, AR 72015",34.524992807046,-92.654948557294,05125010514,Saline County,325
Delta Regional Unit,"880 East Gaines, Dermott, AR 71638",33.519273186686,-91.427640659024,05017080200,Chicot County,599
Grimes Unit,"300 Corrections Drive, Newport, AR 72112",35.626076266585,-91.191017535358,05067480402,Jackson County,1012
McPherson Unit,"302 Corrections Drive, Newport, AR 72112",35.626077080316,-91.191039912909,05067480402,Jackson County,1050
Ouachita River Correctional Unit,"100 Walco Lane, Malvern, AR 72104",34.349827635702,-92.835718799542,05059020500,Hot Spring County,1782
Pine Bluff Unit,"890 Free Line Drive, Pine Bluff, AR 71603",34.221106701958,-92.081281632127,05069002103,Jefferson County,430
Randall L. Williams Correctional Facility,"7206 West 7th Avenue, Pine Bluff, AR 71603",34.22302148373,-92.077035452273,05069002103,Jefferson County,562
Wrightsville Unit,"8400 Highway 386, Wrightsville, AR 72183",34.601910006536,-92.194672956098,05119004005,Pulaski County,850
Benny Magness Unit,"10 Prison Circle, Calico Rock, AR 72519",36.1636645,-92.1520863,05065960300,Izard County,800
J. Aaron Hawkins Sr. Center,"Hwy 365, Wrightsville, AR 72183",34.5979168,-92.2163282,05119004005,Pulaski County,212
Larry B. Norris Unit,"2501 State Farm Rd, Tucker, AR 72168",34.4425163,-91.9445969,05069002300,Jefferson County,532
Tucker Unit,"2400 State Farm Rd, Tucker, AR 72168",34.4425163,-91.9445969,05069002300,Jefferson County,968
Cummins Unit,"2540 Hwy 388, Gould, AR 71643",34.0859182097097,-91.699900124029,05079960600,Lincoln County,1876
East Arkansas Regional Unit,"326 Lee Road 603, Brickeys, AR 72320",34.8496640517085,-90.6000612182477,05077470100,Lee County,1648
Varner/Varner Supermax Unit,"320 State Highway 388, Gould, AR 71643",34.0427253828353,-91.6082447577254,05079960600,Lincoln County,1714
